0,0,0,0,0,0,188469
0,0,0,0,0,0,998308
0,0,0,0,0,0,317702
0,0,0,0,0,0,239529
0,0,0,0,0,0,310108
0,0,0,0,0,0,825887
0,0,0,0,0,0,283412
0,0,0,0,0,0,402960
0,0,0,0,0,0,712429
0,0,0,0,0,0,516648
0,0,0,0,0,0,884975
1,0,0,0,0,0,300013
1,0,0,0,0,0,734425
0,0,0,0,0,0,949957
1,0,0,0,0,0,842250
1,0,0,0,0,0,671450
1,2,0,0,0,0,630788
0,0,0,0,0,0,174668
0,1,0,0,0,0,163545
1,0,0,0,0,0,440592
1,0,0,0,0,0,173992
1,0,0,0,0,0,305183
1,2,0,0,0,0,518705
0,3,0,0,0,0,525738
1,2,0,0,0,0,795537
1,2,0,0,0,0,165856
1,2,0,0,0,0,710436
0,0,0,0,0,0,184653
1,0,0,0,0,0,436326
